"time_iso","time_ms","time_s"," "," "," "," "," "," "," "," "," "," "
"2026-07-15T10:42:15.469Z","22230","22.230","40.46","3.98","246.8","28","247","28","347","330","2","15.45"
"2026-07-15T10:42:15.551Z","22312","22.312","47.88","3.92","291.4","28","291","28","355.1","330.1","2","15.22"
"2026-07-15T10:42:15.603Z","22364","22.364","45.08","6.57","278.3","28","278","28","351","331.4","2","15.71"
"2026-07-15T10:42:15.666Z","22427","22.427","33.18","6.87","204.8","28","205","28","337","331.7","2","15.7"
"2026-07-15T10:42:15.783Z","22544","22.544","20.94","7.86","123.5","29.4","124","29","322.9","332.4","2","16.02"
"2026-07-15T10:42:15.846Z","22607","22.607","2.81","7.98","32","29.8","32","30","302.6","331.9","2","14.83"
"2026-07-15T10:42:15.898Z","22659","22.659","2.38","8.24","32","30.8","32","31","301.6","332.1","2","15.38"
"2026-07-15T10:42:15.964Z","22725","22.725","7.3","8.92","32","33.2","32","33","305.5","332.7","2","15.42"
"2026-07-15T10:42:16.008Z","22769","22.769","13.74","10.27","61.2","38.3","61","38","311.5","334.1","2","15.94"
"2026-07-15T10:42:16.077Z","22838","22.838","20.49","11.57","123.6","43.3","124","43","318.2","335.7","2","15.75"
"2026-07-15T10:42:16.203Z","22964","22.964","28.4","12.7","174.4","47.8","174","48","325.7","337","2","16.12"
"2026-07-15T10:42:16.273Z","23034","23.034","39.31","14.67","169.2","39.1","169","39","336.8","339.4","3","14.9"
"2026-07-15T10:42:16.310Z","23071","23.071","43.77","15.82","112.9","28","113","28","340.9","340.4","3","15.34"
"2026-07-15T10:42:16.382Z","23143","23.143","51.59","19.18","315.3","92.8","315","93","348.5","343.4","2","15.54"
"2026-07-15T10:42:16.431Z","23192","23.192","55.51","20.46","365.9","100.1","366","100","352","344.9","2","15.99"
"2026-07-15T10:42:16.502Z","23263","23.263","58.73","21.06","385.2","102.3","385","102","355","345.6","2","15.73"
"2026-07-15T10:42:16.571Z","23332","23.332","57.85","20.78","380","100.3","380","100","353.5","345.4","2","15.83"
"2026-07-15T10:42:16.699Z","23460","23.460","59.77","21.26","260","73.3","260","73","355.3","346","3","15.48"
"2026-07-15T10:42:16.766Z","23527","23.527","52.5","23.88","345.9","113.1","346","113","347.6","348.2","2","14.32"
"2026-07-15T10:42:16.836Z","23597","23.597","50.88","24.8","219.2","85.6","219","86","345.5","349","3","14.52"
"2026-07-15T10:42:16.890Z","23651","23.651","51.62","28.75","307.6","137.9","308","138","345","352.3","2","14.69"
"2026-07-15T10:42:16.965Z","23726","23.726","50.43","30.5","217.3","106.3","217","106","343.8","353.8","3","14.98"
"2026-07-15T10:42:17.032Z","23793","23.793","50.39","31.48","126.6","63.9","127","64","342.7","355.2","3","14.94"
"2026-07-15T10:42:17.075Z","23836","23.836","50.17","33.24","0","0","0","0","341.7","356.4","3","15.08"
"2026-07-15T10:42:17.215Z","23976","23.976","49.78","34.46","0","0","0","0","340.9","357.4","3","15.16"
"2026-07-15T10:42:17.285Z","24046","24.046","45.57","31.45","278.7","149.2","279","149","335.8","353.9","2","14.11"
"2026-07-15T10:42:17.330Z","24091","24.091","46.61","29.71","279.6","141","280","141","336.8","351.8","2","14.72"
"2026-07-15T10:42:17.392Z","24153","24.153","45.51","20.36","273.3","95.3","273","95","332","342.4","2","14.97"
"2026-07-15T10:42:17.432Z","24193","24.193","44.3","16.22","191.1","51.2","191","51","329.8","338.1","3","15.45"
"2026-07-15T10:42:17.512Z","24273","24.273","35.48","4.92","213.3","28","213","28","319.9","326.7","2","15.68"
"2026-07-15T10:42:17.611Z","24372","24.372","31.52","-1.48","132.9","0","133","0","315.5","320.7","3","16.05"
"2026-07-15T10:42:17.689Z","24450","24.450","23.29","-13.17","59","0","59","0","306.6","308.4","3","14.82"
"2026-07-15T10:42:17.742Z","24503","24.503","21.24","-17.99","0","0","0","0","303.3","303.9","3","15.27"
"2026-07-15T10:42:17.802Z","24563","24.563","19.58","-22.06","0","0","0","0","300.3","299.8","3","15.52"
"2026-07-15T10:42:17.846Z","24607","24.607","33.39","3.69","191.2","0","191","0","313.6","325.9","2","16.08"
"2026-07-15T10:42:17.920Z","24681","24.681","34.15","4.16","204.5","0","205","0","314.1","326","2","16.09"
"2026-07-15T10:42:17.972Z","24733","24.733","30.36","4.86","183.8","0","184","0","309","327","2","16.4"
"2026-07-15T10:42:18.085Z","24846","24.846","29.45","6.5","126.6","28","127","28","307","328.2","3","16.4"
"2026-07-15T10:42:18.155Z","24916","24.916","28.11","8.7","70.8","28","71","28","303.6","330.4","3","15.15"
"2026-07-15T10:42:18.217Z","24978","24.978","-8.51","-4.81","0","0","0","0","265.3","316.9","2","15.38"
"2026-07-15T10:42:18.275Z","25036","25.036","-18.61","-7.93","-52.6","-28","-53","-28","254.6","314.1","3","15.61"
"2026-07-15T10:42:18.331Z","25092","25.092","-26.53","-10.27","-66.2","-28","-66","-28","245.8","311.9","3","15.95"
"2026-07-15T10:42:18.393Z","25154","25.154","-34.53","-12.2","0","0","0","0","237.6","309.7","3","16.02"
"2026-07-15T10:42:18.445Z","25206","25.206","-42.08","-13.75","0","0","0","0","231.3","308.1","3","16.34"
